date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2018-10-12,33.956,96.058,56.9628,54.9832,52.4709,35.2724,89.4305,157.6714,67.3054,25339.9902,28.1322
2018-10-15,33.313,96.2489,56.1768,54.1001,51.3487,35.454,88.0475,156.6065,66.4896,25250.5508,27.8384
2018-10-16,34.64,98.97,55.9456,55.538,52.4803,35.9118,90.998,158.5808,68.6974,25798.4199,28.4289
2018-10-17,36.47,91.4205,56.3618,55.2611,52.2535,36.2039,91.5865,151.6912,67.8108,25706.6797,28.6514
2018-10-18,34.671,89.0335,57.2402,53.8881,51.0322,36.0066,88.536,147.8165,67.0305,25379.4492,28.5357
2018-10-19,33.267,88.0446,58.0725,54.3086,51.8094,36.575,88.2015,147.3331,65.7981,25444.3398,28.8265
2018-10-22,32.954,88.6721,57.2402,54.5414,52.126,36.2908,89.465,146.432,66.4098,25317.4102,28.8235
2018-10-23,33.316,89.4836,58.6736,54.6667,52.6173,36.5987,88.435,146.2518,65.0355,25191.4297,29.0193
2018-10-24,30.183,86.7557,56.2693,52.0426,50.8125,36.8908,83.21,144.9739,63.945,24583.4199,28.9481
2018-10-25,31.287,86.2374,54.5586,54.2645,51.9252,36.7171,89.1085,146.6942,64.8139,24984.5508,29.4288
2018-10-26,29.983,85.1053,52.2468,53.0708,51.0983,36.2513,82.1405,141.0909,63.9007,24688.3105,29.3576
2018-10-29,28.484,81.593,51.5994,50.5254,50.1392,36.6776,76.944,141.8855,64.0071,24442.9199,29.6128
2018-10-30,28.581,78.7014,47.0683,51.3244,50.3896,37.6013,76.521,144.3758,66.0641,24874.6406,30.3902
2018-10-31,30.178,78.7218,46.6984,53.3334,51.7031,37.7986,79.9005,144.081,66.534,25115.7598,29.7552
2018-11-01,31.738,79.6766,44.2942,52.998,52.4969,37.6881,83.2765,147.8329,68.0856,25380.7402,29.8442
2018-11-02,30.91,78.8855,42.9533,52.3932,49.0147,37.8933,83.2765,147.3987,67.8994,25270.8301,30.0697
2018-11-05,31.544,81.8794,42.9071,51.5166,47.6233,38.4381,81.39,149.25,68.7417,25461.6992,30.5356
2018-11-06,31.084,83.9663,43.5544,52.2952,48.1383,38.7696,82.1405,149.1026,67.8906,25635.0098,30.6602
2018-11-07,32.75,85.1393,42.5372,54.1565,49.5982,38.9749,87.7745,153.3788,69.1319,26180.3008,30.954
2018-11-08,31.792,85.2153,42.0748,53.6122,49.4252,38.9433,87.7455,154.0096,68.9634,26191.2207,31.1201
2018-11-09,30.347,85.3258,39.6705,52.8073,48.4722,39.2196,85.6215,152.363,67.7043,25989.3008,31.3219
2018-11-12,29.407,83.5025,36.9426,51.4442,46.0304,39.3696,81.8425,146.989,66.5872,25387.1797,30.8204
2018-11-13,29.44,83.461,39.8093,51.3164,45.5705,39.3617,81.5585,146.6368,66.6758,25286.4902,30.5445
2018-11-14,28.673,83.019,38.4684,51.6934,44.2833,39.2828,79.9505,147.3741,66.6758,25080.5,30.1261
2018-11-15,29.006,83.8754,37.7749,52.736,45.3761,39.267,80.972,145.2933,65.9045,25289.2695,29.5357
